'[7, 31, 34, 15, 31, 34, 15, 31, 34, 15, 31, 34, 13, 31, 20, 12, 32, 16, 39, 9, 39, 19, 44, 11, 36, 13, 1, 16, 39, 19]'
'[39, 9, 12, 33, 13, 17, 15, 45, 27, 45, 15, 45, 27, 42, 16, 8, 34, 15, 17, 35, 0, 0, 2, 40, 14, 20, 12, 32, 16, 23]'
'[36, 37, 19, 23, 19, 44, 11, 35, 0, 0, 0, 0, 7, 2, 33, 41, 46, 45, 8, 34, 4, 17, 15, 31, 34, 4, 17, 12, 0, 7]'
'[3, 39, 13, 31, 34, 15, 31, 34, 15, 31, 19, 15, 31, 34, 4, 17, 12, 33, 44, 43, 23, 31, 34, 15, 17, 12, 23, 31, 34, 13]'
'[12, 33, 13, 31, 34, 15, 45, 15, 31, 34, 15, 31, 19, 44, 11, 35, 33, 41, 46, 12, 33, 41, 46, 45, 36, 37, 46, 45, 36, 13]'
'[40, 14, 20, 12, 0, 7, 18, 16, 39, 9, 12, 23, 19, 15, 31, 34, 13, 17, 32, 16, 39, 19, 15, 45, 16, 39, 9, 39, 19, 44]'
'[3, 27, 45, 28, 34, 44, 11, 35, 0, 2, 6, 33, 13, 17, 12, 32, 16, 39, 9, 12, 32, 16, 8, 34, 4, 3, 39, 19, 23, 19]'
'[25, 24, 7, 17, 12, 33, 44, 11, 22, 5, 10, 32, 16, 39, 19, 15, 17, 12, 33, 41, 18, 16, 38, 40, 11, 35, 33, 13, 1, 6]'
'[33, 13, 17, 15, 45, 27, 42, 43, 23, 31, 34, 15, 45, 16, 9, 12, 0, 0, 7, 31, 34, 15, 45, 16, 8, 34, 15, 17, 15, 31]'
'[2, 6, 34, 15, 31, 34, 13, 17, 12, 33, 41, 18, 16, 39, 13, 31, 34, 15, 31, 19, 15, 45, 15, 31, 34, 13, 31, 34, 15, 31]'
'[18, 43, 40, 14, 3, 39, 19, 15, 45, 16, 39, 9, 12, 23, 1, 15, 31, 34, 15, 31, 34, 15, 31, 34, 15, 31, 47, 41, 46, 28]'
'[-1, 11, 35, 0, 0, 2, 40, 11, 35, 0, 0, 0, 2, 33, 44, 11, 22, 25, 18, 16, 39, 19, 15, 31, 34, 4, 41, 18, 16, 39]'
'[20, 28, 34, 15, 31, 34, 13, 13, 31, 34, 13, 13, 31, 34, 4, 41, 24, 7, 31, 34, 15, 31, 34, 13, 13, 17, 15, 31, 34, 13]'
'[33, 44, 41, 18, 16, 38, 40, 11, 36, 37, 19, 44, 43, 40, 14, 30, 47, 47, 37, 46, 45, 8, 34, 15, 31, 34, 13, 17, 32, 16]'
'[9, 12, 32, 16, 8, 34, 4, 17, 12, 0, 7, 17, 15, 31, 34, 15, 31, 34, 15, 31, 47, 47, 47, 37, 46, 45, 34, 13, 31, 34]'
'[36, 23, 31, 34, 13, 31, 34, 15, 31, 34, 15, 31, 34, 15, 31, 34, 15, 17, 35, 15, 45, 27, 45, 10, 32, 16, 23, 1, 15, 17]'
'[26, 8, 34, 15, 31, 34, 13, 17, 12, 23, 19, 44, 11, 35, 0, 7, 17, 15, 39, 19, 15, 45, 16, 9, 39, 19, 15, 45, 16, 39]'
'[37, 19, 44, 43, 40, 14, 20, 28, 39, 9, 39, 9, 39, 9, 39, 19, 44, 11, 35, 0, 2, 33, 44, 11, 22, 10, 18, 16, 39, 19]'
'[0, 7, 18, 16, 39, 9, 39, 9, 25, 24, 7, 31, 34, 15, 31, 34, 15, 31, 34, 13, 17, 32, 16, 8, 6, 34, 15, 31, 34, 4]'
